emp_no,first_name,second_name,birth_date,wage,hire_date
57,Jesse,Cantrell,1989-04-10,78418.88,2019-10-01
58,Suzanne,Pierce,1999-01-03,77083.77,2019-07-26
59,Tiffany,Carr,1996-10-24,61222.03,2021-11-25
60,Renee,Garcia,1983-12-08,76440.22,2021-10-13
61,Dr.,Paul,1979-02-26,9367.67,2021-05-11
62,Jaime,Phelps,1990-10-17,22536.93,2019-07-05
63,Michael,Barker,1996-03-03,33003.3,2018-03-08
64,Kathleen,Butler,1995-10-23,18726.85,2021-11-03
65,Molly,Mckenzie,1998-09-04,64966.59,2018-04-14
66,Lori,Jones,1979-12-27,94549.91,2020-02-05
67,Justin,Gordon,1998-03-08,39868.24,2020-04-24
68,Marvin,Fisher,1977-07-20,98003.63,2020-03-15
69,Veronica,Lynn,1978-02-10,28633.14,2021-11-12
70,Julian,Fleming,1991-08-30,41241.86,2021-10-19
71,Mary,Bruce,1981-05-03,76150.72,2020-09-22
72,Jennifer,Henson,1983-04-28,60043.18,2019-06-08
73,Dylan,Garrett,1980-12-29,97666.1,2021-03-05
74,Joanne,Hernandez,1986-08-12,25076.84,2020-07-25
75,Robert,Randolph,1985-08-09,93353.38,2018-12-06
76,Tyler,Shaw,1999-12-29,63859.05,2018-04-27
77,Duane,Perez,1997-09-23,56834.13,2020-06-10
78,Karen,Cooper,1995-04-05,46113.9,2021-08-16
79,Allison,Hughes,1986-05-01,55425.51,2018-02-27
80,Douglas,Davis,1982-04-22,69814.19,2018-10-12
81,Kevin,Henderson,1981-01-06,10766.68,2018-02-07
82,Mary,Lee,1994-12-27,64036.16,2021-02-16
83,Kimberly,Lewis,1989-06-11,88877.22,2020-07-28
84,Paul,Stuart,2000-01-22,7008.57,2021-11-29
85,Pamela,Morgan,1993-10-01,47076.79,2021-09-24
86,Joseph,Brooks,1978-04-27,7170.53,2018-06-28
87,Clayton,Charles,1997-12-04,29685.57,2019-03-09
88,Tiffany,Byrd,1982-04-20,6405.68,2020-02-26
89,Kristina,White,1995-11-06,79983.18,2019-11-26
90,Jesse,Carter,1983-11-13,54354.93,2018-11-12
91,Ryan,Allen,1979-08-26,95238.41,2019-02-09
92,Jessica,Davis,1992-09-17,53825.05,2021-01-01
93,Joshua,Bradley,1995-11-26,89987.68,2020-12-29
94,Katherine,Harris,1979-10-09,25553.25,2020-03-09
95,Thomas,Chen,1984-01-09,98840.18,2020-07-08
96,Alicia,Roberts,1980-05-21,49652.85,2019-09-25
97,Benjamin,Liu,1998-06-16,30438.02,2020-07-03
98,Angela,Smith,1992-09-19,89610.97,2020-12-30
99,Lisa,Morgan,1999-01-18,49084.96,2021-10-14
100,Daniel,Nolan,1996-03-23,87903.59,2018-01-15
101,Casey,Cooper,1981-07-13,9935.04,2021-09-15
102,Kimberly,Crane,1991-08-02,66366.55,2021-04-16
103,Cynthia,Owens,1996-03-26,74266.55,2018-03-27
104,Lisa,Butler,1987-12-19,21092.27,2018-06-13
105,Jamie,Stout,1999-12-30,27022.52,2020-04-11
106,Krista,Davis,1999-06-30,3888.32,2019-05-27
107,Patricia,Smith,2000-01-05,86531.1,2019-07-07
108,Brittany,Allen,1991-08-17,47249.3,2018-09-19
109,Laura,Pena,1989-03-11,75073.51,2021-08-17
110,Maurice,Hoffman,1986-06-24,7391.26,2021-05-05
111,Charlene,Jackson,1987-04-09,68657.6,2020-11-10
112,Timothy,Williams,1978-12-04,70673.95,2019-12-30
113,Heather,Williamson,1987-09-01,29824.54,2020-12-01
114,Pamela,Simmons,1998-07-16,7237.06,2018-11-13
115,Timothy,Rice,1995-03-05,30227.52,2019-04-20
116,Patricia,White,1988-07-14,78646.95,2021-12-28
117,Morgan,Miller,1993-06-19,81368.09,2020-03-08
118,Carmen,Perez,1987-04-22,81067.59,2019-12-08
119,Justin,Walsh,1989-10-09,67487.93,2019-03-03
120,Lori,Hickman,1999-04-08,57722.18,2018-07-21
121,Cindy,Le,1993-01-05,85219.65,2020-08-13
122,Angel,Adams,1977-08-10,99014.94,2021-11-24
123,Raven,Mullins,1981-08-26,61900.29,2021-03-17
124,Mark,Bartlett,1977-08-29,31524.74,2020-11-16
125,Abigail,White,1995-05-19,55629.78,2018-10-23
126,John,Mathews,1990-07-27,51504.71,2019-09-21
127,Michael,Medina,1988-08-10,64953.72,2019-07-02
128,Sarah,Holmes,1991-12-16,895.48,2020-01-28
129,Micheal,Taylor,1983-11-27,27830.09,2019-02-04
130,Dawn,Davis,1985-10-13,10460.45,2020-12-15
131,Karen,Castro,1999-11-22,51670.56,2018-02-05
132,Andrea,Harris,1999-06-11,18397.24,2020-07-20
133,Tara,Brooks,1979-01-18,23682.73,2021-01-19
134,Kelly,Pitts,1985-05-15,75473.23,2018-06-13
135,Dustin,Mclaughlin,1988-08-19,15685.03,2021-07-22
136,Shannon,Wilson,1994-10-16,13140.04,2020-07-01
137,Ashley,Lane,1988-12-29,3195.72,2021-09-05
138,Harold,Malone,1990-06-03,94397.48,2021-08-17
139,Keith,Cruz,1988-08-05,22223.95,2020-07-26
140,Ariana,Willis,1983-03-01,23276.95,2020-09-15
141,Kevin,Jackson,1989-07-02,55151.31,2018-10-01
142,Tiffany,Lewis,1979-09-12,4058.29,2020-08-25
143,Edward,Cervantes,1998-11-07,22394.48,2021-04-09
144,Tammy,Thomas,1999-03-19,97969.0,2020-10-04
145,Jennifer,Murray,1994-10-03,33663.83,2021-04-05
146,Kenneth,Choi,1983-09-17,875.49,2020-06-06
147,Sarah,Lee,1990-09-05,91309.04,2021-08-06
148,Erin,Lester,1985-12-09,63679.83,2020-06-14
149,Michael,Weeks,1977-11-15,89021.51,2019-06-18
150,Justin,Sosa,1991-09-20,52464.65,2018-08-28
151,Mark,Cox,1987-08-08,13838.76,2021-12-23
152,Travis,Ford,1992-02-04,42426.02,2019-05-14
153,Roger,Jones,1988-02-01,75451.78,2018-01-03
154,April,Parker,1996-02-23,60916.97,2021-12-23
155,Benjamin,Petersen,1982-01-02,80216.62,2020-01-03
156,David,Stevens,1992-07-25,56325.64,2020-04-25
157,Isaiah,Delacruz,1998-08-31,76841.7,2021-04-26
158,Elizabeth,Farmer,1983-01-05,34360.67,2018-08-23
159,Joshua,Green,1995-03-23,58707.6,2019-07-24
160,Jamie,Guzman,1997-04-08,43288.57,2019-05-04
161,Michael,Roberts,1981-02-10,31708.37,2021-07-28
162,Tyler,Collins,1984-04-20,2505.98,2020-03-04
163,Mark,Moore,1988-11-11,62230.92,2019-05-11
164,Stephen,Cole,1993-12-22,80765.18,2018-01-14
165,Karen,Matthews,1988-03-16,11458.51,2020-08-02
166,Bryan,Lee,1980-12-29,74144.43,2019-10-14
167,Kevin,Jones,1989-11-25,47303.29,2020-01-12
168,Gabriel,Dixon,1997-03-03,55198.45,2021-09-18
169,Jessica,Alexander,1998-08-29,96234.95,2020-07-22
170,Elizabeth,Dominguez,1986-10-27,59266.07,2020-01-15
171,David,Johnson,1987-05-19,66915.66,2019-04-15
172,Timothy,Poole,1990-01-22,74359.73,2020-08-19
173,Morgan,Mcmahon,1977-08-20,63318.82,2019-02-13
174,Christine,Maldonado,1996-09-03,81799.57,2018-08-22
175,John,Kelley,1995-11-21,43117.42,2021-06-13
176,Alexandria,Lewis,1987-09-25,67952.21,2018-11-28
177,Randy,Hampton,1998-09-17,47440.14,2019-09-18
178,Jesse,Wright,1983-06-09,6643.07,2020-07-18
179,Joshua,Collins,1987-05-18,64730.52,2018-05-28
180,Gregory,Knapp,1991-05-29,98772.01,2020-08-03
181,Michelle,Contreras,1999-09-10,44065.79,2019-09-23
182,Miguel,Gamble,1993-12-28,32082.08,2021-10-08
183,Deborah,Chapman,1989-11-05,9997.35,2018-04-26
184,Walter,Watkins,1979-09-21,89194.55,2018-01-09
185,Brian,Alexander,1996-09-13,52859.26,2021-08-01
186,Robert,Diaz,1998-01-18,34347.39,2018-07-11
187,Kelsey,Martin,1988-06-22,97060.81,2020-12-17
188,Jacob,Sherman,1988-12-26,89071.98,2018-10-17
189,Rebecca,Heath,1985-08-22,39481.03,2020-07-31
190,Erik,Martinez,1992-05-05,94206.49,2019-07-10
191,Christopher,Stephens,1990-02-04,96464.37,2020-08-25
192,Taylor,Brown,1999-12-24,3392.58,2019-05-24
193,Terrence,Pratt,1994-11-09,69430.03,2018-01-04
194,Brian,Phelps,1990-08-16,33586.79,2020-02-16
195,Kevin,Oliver,1982-01-12,84218.3,2019-06-22
196,Antonio,Miller,1982-11-22,56910.99,2019-03-16
197,Rachael,Figueroa,1993-07-04,76124.3,2019-04-01
198,Patrick,Mitchell,1993-08-22,95813.62,2021-11-06
199,Cheryl,Blake,1979-03-21,82617.74,2018-11-26
200,Kathryn,Parker,1998-06-22,22489.22,2020-09-07
201,Karen,Green,1981-07-05,73916.81,2019-11-12
202,Jason,Campbell,1982-09-01,49787.09,2020-09-29
203,Carolyn,Richards,1990-04-03,11501.65,2021-08-26
204,Jessica,Davenport,1985-02-14,25171.13,2020-06-13
205,Dean,Smith,1992-08-08,1343.56,2018-09-25
206,Trevor,Hudson,1990-06-18,10982.82,2018-06-29
207,Lisa,Roberts,1990-11-29,31269.94,2019-10-08
208,Megan,Ford,1979-04-05,54568.64,2019-09-20
209,Jerry,Hartman,1988-09-18,2533.88,2021-12-08
210,Nicole,Perez,1981-12-30,31917.76,2019-06-07
211,Jeffrey,Logan,1978-11-21,16570.49,2019-09-02
212,Randy,Brown,1982-08-11,60929.78,2021-04-07
213,Michelle,Richard,1985-08-31,82948.45,2020-04-06
214,Jennifer,Prince,1999-07-06,31651.08,2019-03-26
215,Roy,Cowan,1992-10-26,12532.58,2021-10-10
216,Sarah,Rogers,1991-01-18,7183.87,2020-04-19
217,John,Hernandez,1977-11-11,68816.55,2018-06-10
218,Jose,Davis,1999-05-26,62720.76,2020-11-03
219,David,Mason,1987-02-28,17374.99,2021-09-16
220,Jerry,Nelson,1990-10-04,47703.21,2019-09-28
221,Diane,Flores,1988-03-14,49867.44,2020-06-16
222,John,Jackson,1982-09-18,49004.15,2020-11-08
223,Matthew,Humphrey,1980-07-22,53412.98,2020-11-27
224,James,Thompson,1979-05-02,61149.81,2020-11-21
225,Edward,Phillips,1988-12-16,81105.07,2018-06-25
226,Casey,Steele,1985-11-03,67089.85,2020-07-14
227,Erin,Anderson,1995-12-09,119.56,2018-10-12
228,John,Hartman,1989-04-01,94788.24,2019-08-06
229,Christine,Mitchell,1977-04-24,92237.42,2020-02-05
230,Michael,Bowman,1977-08-01,76903.08,2018-02-18
231,Mark,Gonzalez,1988-05-07,1191.38,2021-08-30
232,David,Butler,1994-11-03,17229.0,2021-10-13
233,Brett,Smith,1979-10-28,99944.99,2019-12-07
234,Connie,Alvarez,1983-11-20,43369.04,2019-08-07
235,Jordan,Rivera,1997-05-18,17148.34,2019-09-08
236,Jade,Horn,1982-11-21,76199.72,2021-02-03
237,Charles,Jensen,1978-04-18,93534.85,2018-03-15
238,Carlos,Goodman,1996-05-23,9887.09,2018-07-08
239,Bradley,Powell,1986-10-20,20995.99,2018-12-10
240,Stephanie,Freeman,1988-09-16,2293.62,2019-10-23
241,Paul,Ortiz,1996-07-10,38677.99,2019-08-22
242,Scott,Rodriguez,1996-09-24,90549.95,2021-10-18
243,Pamela,Chambers,1987-10-13,97348.43,2018-09-17
244,Tommy,Patterson,1993-09-01,48181.87,2019-05-20
245,Lisa,Schultz,1994-01-04,47979.41,2018-09-14
246,Vanessa,Lucas,1990-08-04,65376.94,2020-06-03
247,Gary,Porter,1998-03-30,9662.41,2021-01-13
248,Susan,Barber,1979-09-02,62180.7,2020-02-27
249,Christina,Jackson,1995-11-21,34024.51,2019-10-03
250,Erica,Todd,1998-04-30,19238.77,2018-04-30
251,Ryan,Mclaughlin,1994-04-25,14105.06,2019-07-08
252,Megan,Davenport,1977-08-23,70387.65,2018-11-11
253,Sandra,Parks,1989-11-11,54676.04,2018-08-08
254,Tim,Garner,1978-12-04,19163.37,2018-08-02
255,Sharon,Harris,1991-10-02,33419.5,2019-07-11
256,Susan,Harper,1982-05-31,8301.24,2021-11-21
257,Catherine,Allen,1980-11-16,76775.46,2020-01-02
258,Hector,Smith,1983-11-13,76648.81,2018-10-14
259,Melissa,Giles,1990-01-03,30622.04,2021-10-10
260,Richard,Lang,1988-05-20,24221.2,2020-07-22
261,Robert,Lester,1989-07-31,15633.9,2019-11-11
262,Scott,King,1998-09-13,35995.77,2021-02-14
263,Michael,Beck,1988-05-19,37393.8,2018-04-06
264,Kevin,Dodson,1999-05-25,7118.01,2020-08-30
265,William,King,1997-04-11,13831.25,2020-12-29
266,Matthew,Thompson,1998-05-11,29322.15,2019-04-02
267,David,Skinner,1988-11-05,96324.9,2020-08-06
268,Angela,Brown,1990-09-20,71985.45,2018-06-02
269,Mr.,Mark,1982-06-03,73388.23,2021-06-16
270,Jason,Gonzalez,1983-08-18,724.42,2018-01-19
271,Beverly,Ballard,1993-08-30,59554.95,2019-05-10
272,Timothy,White,1979-05-15,24883.21,2019-04-24
273,Christopher,Jacobson,1977-06-04,36195.1,2018-08-19
274,Kimberly,Blanchard,1996-12-05,50615.06,2018-08-26
275,Felicia,Rodriguez,1994-01-18,3036.6,2019-07-16
276,John,Parsons,1998-07-17,74762.03,2020-08-23
277,Dr.,Thomas,1999-10-26,6170.09,2018-04-26
278,Paige,Savage,1997-08-30,54223.16,2020-10-26
279,Shawn,Bailey,1981-05-14,64234.23,2020-04-05
280,Travis,Cantu,1990-03-03,93627.06,2021-11-22
281,Andre,Pena,1980-11-27,10296.7,2018-09-01
282,Cody,Brown,1982-07-22,27883.68,2021-07-22
283,Emily,Smith,1996-09-04,61533.48,2020-05-17
284,Jessica,Rogers,1994-12-12,54032.15,2020-10-28
285,Christine,Franklin,1991-08-18,73684.9,2019-11-10
286,Elizabeth,Sullivan,1981-01-03,3242.6,2018-12-01
287,Tiffany,Taylor,1987-08-25,23478.49,2020-08-11
288,Tamara,Knight,1988-12-30,17252.39,2020-03-30
289,Crystal,Larson,1998-09-27,67025.7,2019-05-24
290,Jody,Rice,1981-03-29,85346.19,2021-02-13
291,Joshua,Elliott,1994-12-27,80528.1,2019-04-11
292,Rhonda,Martinez,1997-01-04,1895.62,2018-09-14
293,Melinda,Simmons,1984-09-28,6648.62,2021-07-19
294,Kathryn,White,1996-04-15,70465.15,2020-08-21
295,Jeffrey,Fuller,1989-08-26,37938.21,2019-06-02
296,Teresa,Edwards,1994-10-03,96120.0,2018-10-01
297,Christopher,Young,1993-02-13,21017.8,2020-01-12
298,Paul,Ortiz,1994-04-25,29854.09,2019-04-13
299,Robert,House,1999-03-07,45726.34,2018-05-22
300,Andrew,Taylor,1985-06-22,75098.34,2019-03-06
301,Natalie,Norris,1988-10-26,41126.57,2021-03-05
302,Jordan,Hansen,1996-11-23,35281.73,2020-06-16
303,Leslie,West,1983-02-05,60164.18,2021-03-29
304,Heather,Fitzgerald,1989-09-09,99549.0,2020-05-11
305,Benjamin,Miller,1982-05-22,99428.65,2019-05-10
306,Paul,Higgins,1991-04-06,58171.29,2020-02-05
307,Ellen,Reeves,1986-12-01,55036.08,2018-01-29
308,Crystal,Parker,1981-01-19,85103.54,2018-03-05
309,Daniel,Hanson,1992-04-08,49080.18,2018-10-23
310,Kimberly,Martinez,1986-03-19,48503.87,2021-04-05
311,Eileen,Salinas,1995-09-07,63494.09,2019-01-01
312,Christine,Harrison,1986-10-01,82719.19,2021-06-05
313,Kenneth,Simmons,1991-02-07,22900.64,2020-12-21
314,Caleb,Ball,1988-05-31,61556.11,2018-07-10
315,Richard,Pace,1989-06-18,13624.85,2019-03-12
316,Amy,White,1979-07-13,95241.02,2018-03-23
317,Sean,Carroll,1991-07-27,46184.88,2018-02-20
318,Sandra,Johnson,1981-09-15,50740.06,2020-09-02
319,Crystal,Martinez,1987-04-30,51144.88,2019-03-29
320,Mrs.,Annette,1998-09-02,1820.59,2019-12-08
321,Tina,Roberts,1979-10-27,16814.5,2021-08-29
322,Jonathan,Howard,1997-09-26,20494.12,2019-05-02
323,Robert,Lee,1990-03-15,5181.98,2018-06-21
324,Billy,Ryan,1999-10-10,55646.85,2019-02-05
325,Kathryn,Saunders,1978-03-24,16207.88,2021-01-10
326,Kimberly,Black,1978-11-17,36932.96,2019-04-21
327,Benjamin,Carter,1983-12-10,1337.86,2020-06-12
328,Katelyn,Ibarra,1984-09-10,80080.28,2020-06-13
329,Willie,Lynch,1989-06-17,56826.25,2020-08-16
330,Karen,Harris,1997-09-22,38396.69,2021-05-04
331,Jennifer,Salazar,1982-02-15,68592.25,2020-05-21
332,Colin,Morris,1986-02-21,93688.59,2020-02-13
333,Roberta,Garza,1987-05-07,89331.13,2020-04-12
334,Michael,Ruiz,1995-11-25,52511.89,2020-05-12
335,Nancy,Dominguez,1996-11-22,54183.03,2021-03-31
336,Kelly,Powell,1981-11-17,36824.62,2020-05-01
337,Brett,Stone,2000-02-08,46551.48,2021-03-25
338,Laura,Cross,1994-05-22,75866.78,2018-03-08
339,Latasha,Sims,1983-01-18,32917.13,2018-11-08
340,Donna,Henderson,1981-01-27,52527.84,2020-06-27
341,Rodney,Chen,1991-12-16,60269.78,2018-05-11
342,Daniel,Rios,1983-05-20,40124.92,2019-03-29
343,Roy,Thomas,1983-11-09,92137.54,2019-06-19
344,Mrs.,Sarah,2000-05-05,38274.48,2019-03-27
345,Tamara,Murray,1997-03-30,26450.91,2019-02-14
346,Jimmy,Bates,1986-02-10,15070.82,2020-06-09
347,Danielle,Molina,1999-12-30,39673.87,2021-04-26
348,Bradley,Jones,1988-10-25,15587.19,2021-08-14
349,Matthew,Stokes,1980-06-25,62761.82,2019-01-07
350,James,Wagner,1982-03-13,48255.03,2019-09-18
351,Sean,Johnson,1989-08-03,72779.04,2021-03-01
352,Robert,Barnett,1997-01-03,28667.54,2018-12-30
353,Ryan,Nelson,1984-01-03,53761.5,2020-12-13
354,Nancy,Frank,1998-03-01,59741.24,2021-04-21
355,Stephanie,Espinoza,1998-03-12,88337.52,2018-05-31
356,Dakota,Johnson,2000-04-25,90271.82,2021-03-31
357,Jonathan,Johnson,1992-02-19,99942.9,2018-01-25
358,Jerry,Thomas,1988-04-18,28429.46,2018-03-13
359,Cathy,Smith,1996-12-14,5356.84,2018-10-28
360,Kristie,Brown,1986-05-30,78545.74,2018-02-25
361,Adam,Edwards,1990-12-13,11681.04,2019-05-21
362,Erin,Luna,1977-10-05,89641.83,2020-01-05
363,Keith,Alexander,1993-01-08,54871.82,2019-11-07
364,Michael,Pearson,1994-01-16,26384.94,2018-05-22
365,Sara,Medina,1988-03-22,46103.62,2019-08-16
366,Paul,Mclaughlin,1988-05-12,72004.1,2019-03-24
367,John,Erickson,1989-11-23,27500.27,2019-12-25
368,Lee,Bennett,1993-07-05,13375.86,2021-05-16
369,Eric,Good,1992-01-31,3789.19,2020-02-03
370,Lisa,Johnson,1979-09-05,38106.97,2021-01-20
371,Kristin,Norman,1978-08-20,24829.2,2018-09-06
372,Larry,Lee,1978-01-25,67455.91,2020-08-30
373,Terri,Allen,1986-09-01,17601.42,2021-02-09
374,Shannon,Lawson,1984-11-12,22025.94,2018-07-07
375,Vanessa,Taylor,1989-06-23,72436.23,2021-01-24
376,Ashley,Gomez,1985-03-13,20156.8,2019-05-21
377,Erik,Nelson,1986-02-24,24140.28,2019-12-01
378,Justin,Nicholson,1993-11-09,64451.66,2018-07-24
379,Bobby,Johnson,1991-05-29,45652.77,2021-12-15
380,Michael,Smith,1985-06-06,35853.6,2018-01-06
381,Keith,Taylor,1981-12-21,7995.66,2020-06-22
382,Wayne,Thompson,1977-09-06,37289.71,2019-02-01
383,Anthony,Guzman,1986-04-16,72323.82,2020-12-26
384,Kevin,Cook,1980-12-02,94386.45,2020-02-03
385,Joseph,Ramos,1977-12-10,23520.83,2018-07-29
386,Mrs.,Amanda,1991-11-27,31242.94,2021-07-25
387,Sarah,Moore,1982-12-27,38406.68,2020-01-26
388,Rick,Baker,1983-06-19,28235.84,2019-04-05
389,Patricia,Freeman,1988-02-23,72319.14,2021-12-15
390,Elizabeth,Henry,1993-12-31,59581.15,2020-05-25
391,Maxwell,Williams,1985-11-20,7833.99,2019-10-12
392,Stephen,Byrd,1980-02-27,69672.2,2018-06-10
393,Kenneth,Robertson,1983-01-05,54089.24,2021-03-12
394,Valerie,Meyer,1978-03-11,15344.46,2021-08-09
395,Jeffery,Foley,1991-07-12,68249.91,2021-01-03
396,James,Valencia,1977-11-27,83498.94,2018-01-30
397,Mark,Acevedo,1980-09-29,97825.78,2020-11-09
398,Leah,Lucero,1997-07-31,92575.14,2019-10-14
399,Michael,Brown,2000-02-15,65612.98,2018-12-13
400,Samantha,Garrett,1993-04-11,94748.37,2021-05-09
401,Mrs.,Tara,1997-08-14,84469.83,2021-05-11
402,Laura,Romero,1979-03-27,55973.65,2019-01-23
403,Adam,Bailey,1983-12-18,51078.18,2021-09-11
404,Jasmine,Perez,1979-10-06,19491.73,2019-06-01
405,Mr.,Corey,1982-11-23,66985.75,2020-07-14
406,Lauren,Pham,1997-09-22,57774.35,2019-02-09
407,Danielle,Vasquez,1978-09-22,94867.29,2019-10-18
408,Eric,Hoffman,1991-11-16,7652.84,2020-04-12
409,Daniel,Riggs,1983-10-25,36615.41,2019-06-26
410,David,Thomas,1995-03-09,77318.45,2020-04-19
411,Natalie,Jones,1979-09-19,10460.42,2021-11-09
412,Phillip,Castillo,2000-03-20,33372.53,2021-06-22
413,Stephanie,Robles,1994-10-18,82526.85,2019-02-17
414,Craig,Patterson,1992-11-18,39643.11,2021-06-14
415,Emily,Nelson,1993-03-03,79800.17,2019-01-02
416,Brent,Bush,1986-10-09,6949.88,2019-04-22
417,Jennifer,Martin,1989-03-23,64750.83,2021-08-20
418,Karen,Graham,1989-10-23,3536.45,2019-02-23
419,Donald,Thompson,1999-04-17,20250.45,2018-10-31
420,Andrea,Ward,1977-02-13,31679.04,2020-11-25
421,Mrs.,Lori,1998-06-30,30570.12,2018-07-27
422,Richard,Brown,1993-12-28,44453.91,2019-12-27
423,Paula,Reynolds,1992-07-19,83518.71,2018-12-07
424,Brian,Anderson,1987-10-18,89442.42,2019-05-31
425,Allen,Ramos,1981-12-14,44551.05,2020-02-09
426,Meghan,Hayes,1995-06-20,77113.76,2021-12-24
427,David,Wu,1998-07-20,97922.11,2021-08-10
428,Diana,Vazquez,1992-03-02,91455.27,2019-04-07
429,Raven,Heath,1998-01-11,77255.07,2021-07-31
430,Eric,Miller,1978-06-07,4306.67,2020-06-30
431,Zachary,Adams,1984-12-27,50756.37,2019-01-31
432,Amber,Morgan,1990-03-29,26596.08,2018-05-26
433,William,Clark,1995-08-03,98909.81,2020-04-28
434,Christopher,Hayes,1989-02-26,73494.97,2021-07-27
435,Ray,Crawford,1981-12-22,76160.99,2020-09-25
436,Matthew,Brown,1982-09-16,7194.96,2021-08-05
437,Helen,Douglas,1984-03-05,68150.18,2019-04-20
438,Maria,Clark,1999-06-27,91992.31,2018-10-11
439,Regina,Mason,1999-07-08,83663.6,2019-07-12
440,Ryan,King,1985-03-23,42556.05,2019-09-11
441,Yvonne,Reid,1978-07-03,81540.53,2021-07-07
442,Jennifer,Perkins,1981-12-20,23793.84,2018-08-29
443,Sandra,Jackson,1980-05-26,73085.44,2020-10-13
444,John,Johnson,1984-03-12,49006.91,2018-10-10
445,Michael,Brandt,1986-08-13,69071.49,2018-06-10
446,Elijah,Williams,1989-12-09,39101.58,2021-02-17
447,Misty,Wright,1983-07-31,85934.24,2020-05-20
448,Tamara,Wade,1993-11-20,78651.01,2019-10-27
449,Heather,Knight,1986-11-09,77860.98,2019-01-24
450,Brandon,Reeves,1977-10-20,39089.65,2018-12-06
451,Aaron,Ingram,1981-08-27,84179.47,2019-06-26
452,Philip,Jenkins,1990-05-09,36868.91,2021-05-22
453,Carmen,Stone,1995-02-12,70089.68,2018-05-28
454,Karen,Johnson,1980-05-29,87505.47,2020-04-15
455,Melissa,Olson,1994-09-30,97453.53,2018-08-11
456,Caleb,Santos,1989-02-27,17207.85,2019-11-13
457,Matthew,Zamora,1984-09-03,69733.54,2021-10-01
458,Nancy,Sutton,1997-05-24,22984.48,2018-03-15
459,Deborah,Moore,1990-03-03,32552.53,2019-03-28
460,Grant,Medina,1999-02-25,92682.36,2020-09-23
461,Natalie,Williams,1991-12-03,88256.9,2021-02-09
